City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Mariental,NA,-24.6333,17.9667,76.3,31,49,10.76,scattered clouds
253,Saint-Augustin,CA,51.226,-58.6502,16.2,94,89,8.86,overcast clouds
254,Wattegama,LK,6.7989,81.4808,86.0,58,20,11.5,few clouds
255,Glace Bay,CA,46.1969,-59.957,33.01,86,75,11.5,broken clouds
256,Bengkulu,ID,-3.8004,102.2655,77.58,81,100,3.29,overcast clouds
257,Thompson,CA,55.7435,-97.8558,-18.4,76,40,2.3,scattered clouds
258,Bako,ET,5.7833,36.5667,74.75,37,13,0.38,few clouds
259,Atherton,GB,53.5237,-2.4935,48.0,91,82,5.01,broken clouds
260,Hudson Bay,CA,52.85,-102.3842,-18.26,87,26,0.96,scattered clouds
261,Plattsburgh,US,44.6995,-73.4529,26.6,93,90,4.38,light snow
262,Deputatskiy,RU,69.3,139.9,-37.82,84,100,1.63,overcast clouds
263,Russell,US,32.3502,-85.1999,60.8,82,90,2.64,heavy intensity rain
264,Vikhorevka,RU,56.1201,101.1636,-18.0,76,87,4.47,overcast clouds
265,Koumac,NC,-20.5667,164.2833,83.17,70,90,6.71,heavy intensity rain
266,Hobyo,SO,5.3505,48.5268,79.0,70,70,20.74,broken clouds
267,Enderby,GB,52.5878,-1.2062,43.0,99,100,5.41,overcast clouds
268,Nome,US,64.5011,-165.4064,8.6,78,90,4.61,overcast clouds
269,Fomboni,KM,-12.28,43.7425,82.04,68,4,4.94,clear sky
270,Naryan-Mar,RU,67.6713,53.087,-13.65,85,100,12.71,overcast clouds
271,Vestmannaeyjar,IS,63.4427,-20.2734,33.76,86,100,27.89,overcast clouds
272,Alexandria,EG,31.2156,29.9553,50.0,93,100,2.3,overcast clouds
273,Paraiso,CR,9.8383,-83.8656,68.0,68,0,10.36,clear sky
274,Codrington,AU,-38.2667,141.9667,63.64,63,27,19.46,scattered clouds
275,Ust-Maya,RU,60.4167,134.5333,-40.52,77,100,2.35,overcast clouds
276,Bethel,US,41.3712,-73.414,28.4,93,90,1.05,light snow
277,Torbay,CA,47.6666,-52.7314,33.01,100,90,23.02,light snow
278,Sayyan,YE,15.1718,44.3244,56.77,30,0,4.03,clear sky
279,Ungaran,ID,-7.1397,110.405,86.0,74,40,10.36,scattered clouds
280,Seoul,KR,37.5683,126.9778,44.6,21,0,9.22,clear sky
281,Mtimbira,TZ,-8.7833,36.35,78.19,78,53,1.63,broken clouds
282,Baghdad,IQ,33.3406,44.4009,48.2,53,58,3.44,broken clouds
283,Sambava,MG,-14.2667,50.1667,84.56,61,7,2.19,clear sky
284,Paka,MY,4.6374,103.4368,84.2,79,40,11.5,scattered clouds
285,Koson,UZ,39.0375,65.585,35.6,80,0,4.61,clear sky
286,Launceston,AU,-41.45,147.1667,69.01,34,0,14.97,clear sky
287,Helena,US,46.5927,-112.0361,14.0,79,1,3.33,clear sky
288,Dzilam Gonzalez,MX,21.2833,-88.9333,72.25,93,0,6.26,clear sky
289,Bowral,AU,-34.4667,150.4167,70.0,78,99,4.0,overcast clouds
290,Jiazi,CN,22.8779,116.067,67.28,68,9,18.39,clear sky
291,Saryg-Sep,RU,51.5,95.6,-1.95,86,100,0.67,light snow
292,Razole,IN,16.4833,81.8333,84.2,54,20,5.91,haze
293,Castro,BR,-24.7911,-50.0119,63.63,92,100,5.68,overcast clouds
294,Voznesenye,RU,61.0106,35.4781,28.42,97,92,7.83,overcast clouds
295,Qaqortoq,GL,60.7167,-46.0333,11.86,79,0,6.26,clear sky
296,Erenhot,CN,43.6475,111.9767,8.65,87,100,13.31,overcast clouds
297,Severo-Yeniseyskiy,RU,60.3725,93.0408,-27.31,85,100,6.51,overcast clouds
298,Lebyazhye,RU,55.2689,66.4947,24.98,96,94,11.99,overcast clouds
299,Taoudenni,ML,22.6783,-3.9836,63.81,27,0,13.49,clear sky
300,Guerrero Negro,MX,27.9769,-114.0611,54.66,61,53,7.63,broken clouds
301,Iralaya,HN,15.0,-83.2333,77.85,81,29,12.15,scattered clouds
302,Ust-Karsk,RU,52.7011,118.8077,-8.3,80,100,7.85,overcast clouds
303,Klaksvik,FO,62.2266,-6.589,33.8,80,42,10.36,light snow
304,Caborca,MX,30.5838,-111.101,42.6,73,22,4.34,few clouds
305,Adrar,MR,20.5022,-10.0711,62.44,23,0,8.93,clear sky
306,Sikonge,TZ,-5.6333,32.7667,68.95,83,31,4.59,scattered clouds
307,Skibbereen,IE,51.55,-9.2667,48.2,100,75,9.22,fog
308,Gayny,RU,60.3071,54.3241,25.54,98,99,8.93,overcast clouds
309,Vostok,RU,46.4856,135.8833,4.55,93,100,11.95,overcast clouds
310,Vao,NC,-22.6667,167.4833,76.89,79,61,21.14,broken clouds
311,Jinhua,CN,29.1078,119.6547,55.0,40,61,4.14,broken clouds
312,Cherskiy,RU,68.75,161.3,-31.94,82,100,1.34,overcast clouds
313,Tura,IN,25.5198,90.2201,77.7,33,0,1.7,clear sky
314,Ayan,RU,56.45,138.1667,-4.23,90,100,10.49,overcast clouds
315,Canillo,AD,42.5833,1.6667,44.01,96,95,1.99,overcast clouds
316,Khovu-Aksy,RU,51.1333,93.6,-2.65,88,100,2.93,overcast clouds
317,Eirunepe,BR,-6.6603,-69.8736,72.77,98,100,3.24,light rain
318,Posse,BR,-14.0931,-46.3694,68.54,72,74,6.98,broken clouds
319,Poum,NC,-20.2333,164.0167,81.46,73,100,16.33,moderate rain
320,Kyshtovka,RU,56.555,76.6271,32.22,97,100,15.03,overcast clouds
321,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,58,0,10.36,clear sky
322,Urucara,BR,-2.5364,-57.76,72.32,96,80,1.99,broken clouds
323,Cam Ranh,VN,11.9214,109.1591,75.2,83,75,12.66,broken clouds
324,Port Augusta,AU,-32.5,137.7667,84.99,53,64,10.36,light rain
325,Ballina,AU,-28.8667,153.5667,87.8,74,40,17.27,scattered clouds
326,Barra Bonita,BR,-22.4947,-48.5581,72.0,90,85,1.99,overcast clouds
327,Balabac,PH,7.9868,117.0645,82.29,71,33,10.0,scattered clouds
328,Salalah,OM,17.0151,54.0924,78.8,44,0,4.61,clear sky
329,Vilyuysk,RU,63.7553,121.6247,-43.87,79,84,4.07,broken clouds
330,Winnemucca,US,40.973,-117.7357,28.99,51,91,3.0,overcast clouds
331,Cascais,PT,38.6979,-9.4215,57.99,20,86,2.55,overcast clouds
332,Airai,TL,-8.9266,125.4092,73.6,74,84,4.88,broken clouds
333,Auki,SB,-8.7676,160.7034,80.58,83,100,9.82,heavy intensity rain
334,Atikokan,CA,48.7555,-91.6216,-17.32,88,10,4.12,clear sky
335,Dhidhdhoo,MV,6.8833,73.1,80.89,61,100,7.63,overcast clouds
336,Jardim,BR,-21.4803,-56.1381,73.53,86,98,5.03,overcast clouds
337,Carlsbad,US,33.1581,-117.3506,46.4,66,1,3.44,clear sky
338,Asfi,MA,32.2994,-9.2372,60.26,78,0,13.58,clear sky
339,Angoche,MZ,-16.2325,39.9086,83.88,69,2,1.83,clear sky
340,Aljezur,PT,37.3191,-8.8033,59.0,100,73,1.01,broken clouds
341,Port Hawkesbury,CA,45.6169,-61.3485,28.0,93,20,3.44,few clouds
342,Buraydah,SA,26.326,43.975,57.2,58,0,4.61,clear sky
343,Orlik,RU,52.5178,99.825,-14.06,74,9,3.6,clear sky
344,Lapua,FI,62.9693,23.0088,24.01,96,100,7.45,overcast clouds
345,Vardo,NO,70.3705,31.1107,24.8,80,75,23.02,snow
